"id","socname","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v204","v20","v820","v200","v201"
106,"Western Samoans",1,5,4,3,1,1,1,5,4,3,0,2,6,4,9
107,"Gilbertese",1,5,4,3,1,1,3,5,3,3,1,2,6,4,6
108,"Marshallese",3,5,3,2,1,1,3,5,3,3,0,2,3,4,6
109,"Trukese",1,5,4,3,3,1,3,5,2,1,0,2,6,4,6
110,"Yapese",2,5,4,2,3,1,4,4,3,4,0,1,6,4,6
111,"Palauans",1,5,4,1,2,1,4,4,4,3,0,2,6,4,6
112,"Ifugao",1,5,5,4,4,2,2,5,1,2,2,2,7,4,1
113,"Atayal",1,4,4,2,4,1,4,3,3,1,2,2,6,4,1
114,"Chinese",5,5,5,5,5,5,5,5,5,5,0,5,7,3,4
115,"Manchu",4,5,5,2,4,4,2,5,3,2,0,2,7,3,4
116,"Koreans",5,5,5,4,5,4,5,5,5,5,0,2,7,3,4
117,"Japanese",5,5,5,5,5,5,5,5,5,5,0,2,7,3,4
118,"Ainu",2,3,2,1,3,1,1,1,2,1,3,2,3,3,3
119,"Gilyak",1,2,1,1,4,3,3,1,2,1,3,2,3,3,3
120,"Yukaghir",2,1,1,1,4,3,1,1,2,1,5,2,3,3,3
121,"Chukchee",1,2,1,1,4,3,1,1,2,2,2,2,5,3,3
122,"Ingalik",2,3,1,1,2,1,4,1,2,2,4,2,3,5,1
123,"Aleut",1,3,1,3,1,1,1,3,3,4,3,2,3,5,1
124,"Copper Eskimo",1,2,1,1,4,3,1,1,1,1,4,2,3,5,1
125,"Montagnais",3,2,1,2,1,1,1,1,2,1,6,2,2,5,1
126,"Micmac",3,2,1,1,1,1,4,1,2,1,5,1,2,5,1
127,"Saulteaux",3,2,2,2,1,3,3,1,2,1,4,1,3,5,1
128,"Slave",1,3,2,1,1,3,3,1,2,1,5,2,2,5,1
129,"Kaska",1,2,1,1,1,3,1,1,2,1,4,2,3,5,1
130,"Eyak",1,3,1,1,2,1,1,1,3,2,3,2,3,5,2
131,"Haida",3,3,1,2,4,1,2,1,2,4,2,2,3,5,2
132,"Bellacoola",2,5,1,1,1,1,3,2,2,4,2,2,3,5,2
133,"Twana",2,2,1,1,3,1,4,4,2,2,3,2,3,5,2
134,"Yurok",3,5,1,1,1,1,1,2,1,2,1,2,3,5,2
135,"Pomo (Eastern)",3,3,1,3,1,1,4,2,2,2,3,2,1,5,3
136,"Yokuts (Lake)",1,3,1,3,1,1,4,3,2,2,2,2,3,5,3
137,"Paiute (North.)",2,2,1,2,1,1,1,1,2,1,3,2,1,5,4
138,"Klamath",2,2,1,1,1,1,1,1,2,2,2,2,3,5,3
139,"Kutenai",2,2,1,2,2,2,3,1,2,1,3,2,3,5,4
